"xmin","ymin","xmax","ymax"
-117.295494587824,32.5288367363725,-117.205663059412,32.6045436373163
-117.205663059412,32.5288367363725,-117.115831531,32.6045436373163
-117.115831531,32.5288367363725,-117.026000002588,32.6045436373163
-117.026000002588,32.5288367363725,-116.936168474176,32.6045436373163
-116.936168474176,32.5288367363725,-116.846336945765,32.6045436373163
-116.846336945765,32.5288367363725,-116.756505417353,32.6045436373163
-116.756505417353,32.5288367363725,-116.666673888941,32.6045436373163
-116.666673888941,32.5288367363725,-116.576842360529,32.6045436373163
-116.576842360529,32.5288367363725,-116.487010832117,32.6045436373163
-116.487010832117,32.5288367363725,-116.397179303705,32.6045436373163
-116.397179303705,32.5288367363725,-116.307347775293,32.6045436373163
-116.307347775293,32.5288367363725,-116.217516246881,32.6045436373163
-117.385326116236,32.6045436373163,-117.295494587824,32.6801866066143
-117.295494587824,32.6045436373163,-117.205663059412,32.6801866066143
-117.205663059412,32.6045436373163,-117.115831531,32.6801866066143
-117.115831531,32.6045436373163,-117.026000002588,32.6801866066143
-117.026000002588,32.6045436373163,-116.936168474176,32.6801866066143
-116.936168474176,32.6045436373163,-116.846336945765,32.6801866066143
-116.846336945765,32.6045436373163,-116.756505417353,32.6801866066143
-116.756505417353,32.6045436373163,-116.666673888941,32.6801866066143
-116.666673888941,32.6045436373163,-116.576842360529,32.6801866066143
-116.576842360529,32.6045436373163,-116.487010832117,32.6801866066143
-116.487010832117,32.6045436373163,-116.397179303705,32.6801866066143
-116.397179303705,32.6045436373163,-116.307347775293,32.6801866066143
-116.307347775293,32.6045436373163,-116.217516246881,32.6801866066143
-116.217516246881,32.6045436373163,-116.127684718469,32.6801866066143
-116.127684718469,32.6045436373163,-116.037853190057,32.6801866066143
-116.037853190057,32.6045436373163,-115.948021661645,32.6801866066143
-115.948021661645,32.6045436373163,-115.858190133233,32.6801866066143
-115.858190133233,32.6045436373163,-115.768358604821,32.6801866066143
-115.768358604821,32.6045436373163,-115.678527076409,32.6801866066143
-115.678527076409,32.6045436373163,-115.588695547997,32.6801866066143
-115.588695547997,32.6045436373163,-115.498864019585,32.6801866066143
-115.498864019585,32.6045436373163,-115.409032491173,32.6801866066143
